No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team
25,Dalen Terry,SG,6-7,195,"July 12, 2002",us US,R,Arizona,CHI
9,Nikola VuÄeviÄ,C,6-10,260,"October 24, 1990",ch CH,11,USC,CHI
0,Coby White,SG,6-5,195,"February 16, 2000",us US,3,UNC,CHI
44,Patrick Williams,PF,6-7,215,"August 26, 2001",us US,2,Florida State,CHI
31,Jarrett Allen,C,6-11,243,"April 21, 1998",us US,5,Texas,CLE
21,Mamadi Diakite,C,6-9,228,"January 21, 1997",gn GN,2,Virginia,CLE
10,Darius Garland,PG,6-1,192,"January 26, 2000",us US,3,Vanderbilt,CLE
14,Danny Green,SG,6-6,215,"June 22, 1987",us US,13,UNC,CLE
3,Caris LeVert,SG,6-6,205,"August 25, 1994",us US,6,Michigan,CLE
33,Robin Lopez,C,7-1,281,"April 1, 1988",us US,14,Stanford,CLE
0,Kevin Love,PF,6-8,251,"September 7, 1988",us US,14,UCLA,CLE
5,Sam Merrill,SG,6-4,205,"May 15, 1996",us US,2,Utah State University,CLE
45,Donovan Mitchell,SG,6-3,215,"September 7, 1996",us US,5,Louisville,CLE
4,Evan Mobley,PF,6-11,215,"June 18, 2001",us US,1,USC,CLE
15,Isaiah Mobley,PF,6-8,240,"September 24, 1999",us US,R,USC,CLE
19,Raul Neto,PG,6-1,180,"May 19, 1992",br BR,7,,CLE
35,Isaac Okoro,SF,6-5,225,"January 26, 2001",us US,2,Auburn,CLE
16,Cedi Osman,SF,6-7,230,"April 8, 1995",mk MK,5,,CLE
13,Ricky Rubio,PG,6-2,190,"October 21, 1990",es ES,11,,CLE
8,Lamar Stevens,SF,6-6,230,"July 9, 1997",us US,2,Penn State,CLE
32,Dean Wade,PF,6-9,228,"November 20, 1996",us US,3,Kansas State,CLE
9,Dylan Windler,SF,6-6,196,"September 22, 1996",us US,2,Belmont,CLE
44,DÄvis BertÄns,PF,6-10,225,"November 12, 1992",lv LV,6,,DAL
25,Reggie Bullock,SF,6-6,205,"March 16, 1991",us US,9,UNC,DAL
2,Facundo Campazzo,PG,5-10,195,"March 23, 1991",ar AR,2,,DAL
26,Spencer Dinwiddie,SG,6-5,215,"April 6, 1993",us US,8,Colorado,DAL
77,Luka DonÄiÄ,PG,6-6,230,"February 28, 1999",si SI,4,,DAL
5,Tyler Dorsey,SF,6-5,183,"February 18, 1996",us US,2,Oregon,DAL
10,Dorian Finney-Smith,PF,6-7,220,"May 4, 1993",us US,6,Florida,DAL
8,Josh Green,SG,6-5,200,"November 16, 2000",au AU,2,Arizona,DAL
11,Tim Hardaway Jr.,SF,6-5,205,"March 16, 1992",us US,9,Michigan,DAL
3,Jaden Hardy,SG,6-4,198,"July 5, 2002",us US,R,,DAL
0,Justin Holiday,SF,6-6,180,"April 5, 1989",us US,9,Washington,DAL
2,Kyrie Irving,SG,6-2,195,"March 23, 1992",au AU,11,Duke,DAL
42,Maxi Kleber,PF,6-10,240,"January 29, 1992",de DE,5,,DAL
9,A.J. Lawson,SG,6-6,179,"July 15, 2000",ca CA,R,South Carolina,DAL
0,JaVale McGee,C,7-0,270,"January 19, 1988",us US,14,Nevada,DAL
13,Markieff Morris,PF,6-9,245,"September 2, 1989",us US,11,Kansas,DAL
21,Frank Ntilikina,SG,6-4,200,"July 28, 1998",be BE,5,,DAL
1,Theo Pinson,SG,6-5,212,"November 5, 1995",us US,4,UNC,DAL
7,Dwight Powell,C,6-10,240,"July 20, 1991",ca CA,8,Stanford,DAL
30,Chris Silva,PF,6-8,234,"September 19, 1996",ga GA,3,South Carolina,DAL
34,Kemba Walker,PG,6-0,184,"May 8, 1990",us US,11,UConn,DAL
35,Christian Wood,C,6-8,214,"September 27, 1995",us US,6,UNLV,DAL
23,McKinley Wright IV,PG,6-0,196,"October 25, 1998",us US,1,Colorado,DAL
0,Christian Braun,SG,6-6,218,"April 17, 2001",us US,R,Kansas,DEN
11,Bruce Brown,SF,6-4,202,"August 15, 1996",us US,4,Miami (FL),DEN
13,Thomas Bryant,C,6-10,248,"July 31, 1997",us US,5,Indiana,DEN
5,Kentavious Caldwell-Pope,SG,6-5,204,"February 18, 1993",us US,9,Georgia,DEN
31,Vlatko ÄanÄar,PF,6-8,236,"April 10, 1997",si SI,3,,DEN
50,Aaron Gordon,PF,6-8,235,"September 16, 1995",us US,8,Arizona,DEN
32,Jeff Green,PF,6-8,235,"August 28, 1986",us US,14,Georgetown,DEN
3,Bones Hyland,PG,6-2,173,"September 14, 2000",us US,1,VCU,DEN
7,Reggie Jackson,PG,6-2,208,"April 16, 1990",it IT,11,Boston College,DEN
15,Nikola JokiÄ,C,6-11,284,"February 19, 1995",rs RS,7,,DEN
6,DeAndre Jordan,C,6-11,265,"July 21, 1988",us US,14,Texas A&M,DEN
27,Jamal Murray,PG,6-4,215,"February 23, 1997",ca CA,5,Kentucky,DEN
22,Zeke Nnaji,PF,6-9,240,"January 9, 2001",us US,2,Arizona,DEN
1,Michael Porter Jr.,SF,6-10,218,"June 29, 1998",us US,3,Missouri,DEN
9,Davon Reed,SG,6-5,208,"June 11, 1995",us US,3,Miami (FL),DEN
14,Ish Smith,PG,6-0,175,"July 5, 1988",us US,12,Wake Forest,DEN
8,Peyton Watson,SG,6-8,200,"September 11, 2002",us US,R,UCLA,DEN
10,Jack White,SF,6-7,225,"August 5, 1997",au AU,R,Duke,DEN
35,Marvin Bagley III,C,6-10,235,"March 14, 1999",us US,4,Duke,DET
41,Saddiq Bey,SF,6-7,215,"April 9, 1999",us US,2,Villanova,DET
27,Buddy Boeheim,SF,6-6,205,"November 11, 1999",us US,R,Syracuse,DET
44,Bojan BogdanoviÄ,PF,6-7,226,"April 18, 1989",ba BA,8,,DET
5,Alec Burks,SG,6-6,214,"July 20, 1991",us US,11,Colorado,DET
2,Cade Cunningham,PG,6-6,220,"September 25, 2001",us US,1,Oklahoma State,DET
6,Hamidou Diallo,SF,6-5,202,"July 31, 1998",us US,4,Kentucky,DET
0,Jalen Duren,C,6-10,250,"November 18, 2003",us US,R,Memphis,DET
14,R.J. Hampton,SG,6-4,175,"February 7, 2001",us US,2,,DET
7,Killian Hayes,PG,6-5,195,"July 27, 2001",us US,2,,DET
23,Jaden Ivey,SG,6-4,195,"February 13, 2002",us US,R,Purdue,DET
18,Cory Joseph,PG,6-2,200,"August 20, 1991",ca CA,11,Texas,DET
8,Braxton Key,SF,6-8,230,"February 14, 1997",us US,1,"Alabama, Virginia",DET
20,Kevin Knox,SF,6-7,215,"August 11, 1999",us US,4,Kentucky,DET
12,Isaiah Livers,PF,6-7,230,"July 28, 1998",us US,1,Michigan,DET
17,Rodney McGruder,SG,6-4,205,"July 29, 1991",us US,6,Kansas State,DET
9,Nerlens Noel,C,6-10,220,"April 10, 1994",us US,8,Kentucky,DET
97,Eugene Omoruyi,SF,6-7,244,"February 14, 1997",ng NG,1,"Rutgers University, Oregon",DET
8,Jared Rhoden,SG,6-6,210,"August 27, 1999",us US,R,Seton Hall,DET
28,Isaiah Stewart,C,6-8,250,"May 22, 2001",us US,2,Washington,DET
14,Stanley Umude,SG,6-6,210,"April 12, 1999",us US,R,"South Dakota, Arkansas",DET
13,James Wiseman,C,7-0,240,"March 31, 2001",us US,1,Memphis,DET
7,Patrick Baldwin Jr.,SF,6-9,220,"November 18, 2002",us US,R,UW-Milwaukee,GSW
30,Stephen Curry,PG,6-2,185,"March 14, 1988",us US,13,Davidson,GSW
0,Donte DiVincenzo,SG,6-4,203,"January 31, 1997",us US,4,Villanova,GSW
23,Draymond Green,PF,6-6,230,"March 4, 1990",us US,10,Michigan State,GSW
1,JaMychal Green,PF,6-8,227,"June 21, 1990",us US,8,Alabama,GSW
9,Andre Iguodala,PF,6-6,215,"January 28, 1984",us US,18,Arizona,GSW
10,Ty Jerome,SG,6-5,195,"July 8, 1997",us US,3,Virginia,GSW
0,Jonathan Kuminga,PF,6-8,210,"October 6, 2002",cd CD,1,,GSW
40,Anthony Lamb,SF,6-6,227,"January 20, 1998",us US,2,University of Vermont,GSW
5,Kevon Looney,C,6-9,222,"February 6, 1996",us US,7,UCLA,GSW
4,Moses Moody,SG,6-5,205,"May 31, 2002",us US,1,Arkansas,GSW
8,Gary Payton II,SG,6-2,190,"December 1, 1992",us US,6,Oregon State,GSW
3,Jordan Poole,PG,6-4,194,"June 19, 1999",us US,3,Michigan,GSW
25,Lester QuiÃ±ones,SG,6-5,208,"November 16, 2000",us US,R,Memphis,GSW
2,Ryan Rollins,PG,6-4,180,"July 3, 2002",us US,R,Toledo,GSW
11,Klay Thompson,SF,6-5,215,"February 8, 1990",us US,9,Washington State,GSW
22,Andrew Wiggins,SF,6-7,197,"February 23, 1995",ca CA,8,Kansas,GSW
33,James Wiseman,C,7-0,240,"March 31, 2001",us US,1,Memphis,GSW
9,Josh Christopher,SG,6-5,215,"December 8, 2001",us US,1,Arizona State,HOU
5,Darius Days,SF,6-7,245,"October 20, 1999",us US,R,LSU,HOU
17,Tari Eason,PF,6-8,216,"May 10, 2001",us US,R,"Cincinnati, LSU",HOU
20,Bruno Fernando,C,6-9,240,"August 15, 1998",ao AO,3,Maryland,HOU
16,Usman Garuba,C,6-8,220,"March 9, 2002",es ES,1,,HOU
10,Eric Gordon,SG,6-3,215,"December 25, 1988",us US,14,Indiana,HOU
4,Jalen Green,SG,6-4,178,"February 9, 2002",us US,1,,HOU
12,Trevor Hudgins,PG,6-0,180,"March 23, 1999",us US,R,Northwest Missouri State University,HOU
33,Frank Kaminsky,C,7-0,240,"April 4, 1993",us US,7,Wisconsin,HOU
51,Boban MarjanoviÄ,C,7-4,290,"August 15, 1988",rs RS,7,,HOU
6,KJ Martin,SF,6-6,215,"January 6, 2001",us US,2,,HOU
25,Garrison Mathews,SG,6-5,215,"October 24, 1996",us US,3,Lipscomb,HOU
15,Daishen Nix,PG,6-5,224,"February 13, 2002",us US,1,,HOU
3,Kevin Porter Jr.,PG,6-4,203,"May 4, 2000",us US,3,USC,HOU
28,Alperen ÅengÃ¼n,C,6-11,235,"July 25, 2002",tr TR,1,,HOU
1,Jabari Smith Jr.,PF,6-11,220,"May 13, 2003",us US,R,Auburn,HOU
8,Jae'Sean Tate,SF,6-4,230,"October 28, 1995",us US,2,Ohio State,HOU
0,TyTy Washington Jr.,PG,6-3,197,"November 15, 2001",us US,R,Kentucky,HOU
88,Goga Bitadze,C,6-11,250,"July 20, 1999",ge GE,3,,IND
12,Oshae Brissett,PF,6-7,210,"June 20, 1998",ca CA,3,Syracuse,IND
10,Kendall Brown,SG,6-8,205,"May 11, 2003",us US,R,Baylor,IND
3,Chris Duarte,SF,6-6,190,"June 13, 1997",do DO,1,Oregon,IND
0,Tyrese Haliburton,PG,6-5,185,"February 29, 2000",us US,2,Iowa State,IND
24,Buddy Hield,SF,6-4,220,"December 17, 1992",bs BS,6,Oklahoma,IND
7,George Hill,SG,6-4,188,"May 4, 1986",us US,14,IUPUI,IND
22,Isaiah Jackson,C,6-10,206,"January 10, 2002",us US,1,Kentucky,IND
16,James Johnson,PF,6-7,240,"February 20, 1987",us US,13,Wake Forest,IND
0,Bennedict Mathurin,SG,6-6,210,"June 19, 2002",ca CA,R,Arizona,IND
9,T.J. McConnell,PG,6-1,190,"March 25, 1992",us US,7,"Duquesne, Arizona",IND
2,Andrew Nembhard,SG,6-5,193,"January 16, 2000",ca CA,R,"Florida, Gonzaga",IND
23,Aaron Nesmith,SF,6-5,215,"October 16, 1999",us US,2,Vanderbilt,IND
13,Jordan Nwora,SF,6-8,225,"September 9, 1998",us US,2,Louisville,IND
8,Trevelin Queen,SG,6-6,190,"February 25, 1997",us US,1,"College of Marin, New Mexico Military Institute, New Mexico State",IND
25,Jalen Smith,C,6-10,215,"March 16, 2000",us US,2,Maryland,IND
21,Terry Taylor,PF,6-5,230,"September 23, 1999",us US,1,Austin Peay State University,IND
27,Daniel Theis,C,6-8,245,"April 4, 1992",de DE,5,,IND
33,Myles Turner,C,6-11,250,"March 24, 1996",us US,7,Texas,IND
32,Gabe York,SG,6-3,185,"August 2, 1993",us US,1,Arizona,IND
33,Nicolas Batum,PF,6-8,230,"December 14, 1988",fr FR,14,,LAC
4,Brandon Boston Jr.,SF,6-7,185,"November 28, 2001",us US,1,Kentucky,LAC
9,Moses Brown,C,7-2,245,"October 13, 1999",us US,3,UCLA,LAC
7,Amir Coffey,SF,6-7,210,"June 17, 1997",us US,3,Minnesota,LAC
23,Robert Covington,PF,6-7,209,"December 14, 1990",us US,9,Tennessee State,LAC
25,Moussa DiabatÃ©,C,6-11,210,"January 21, 2002",fr FR,R,Michigan,LAC
13,Paul George,SF,6-8,220,"May 2, 1990",us US,12,Fresno State,LAC
10,Eric Gordon,SG,6-3,215,"December 25, 1988",us US,14,Indiana,LAC
5,Bones Hyland,PG,6-2,173,"September 14, 2000",us US,1,VCU,LAC
1,Reggie Jackson,PG,6-2,208,"April 16, 1990",it IT,11,Boston College,LAC
5,Luke Kennard,SG,6-5,206,"June 24, 1996",us US,5,Duke,LAC
2,Kawhi Leonard,SF,6-7,225,"June 29, 1991",us US,10,San Diego State,LAC
14,Terance Mann,SG,6-5,215,"October 18, 1996",us US,3,Florida State,LAC
15,Xavier Moon,SG,6-2,165,"January 2, 1995",us US,1,"Northwest Florida State College, Morehead State University",LAC
8,Marcus Morris,PF,6-8,218,"September 2, 1989",us US,11,Kansas,LAC
44,Mason Plumlee,C,6-10,254,"March 5, 1990",us US,9,Duke,LAC
24,Norman Powell,SG,6-3,215,"May 25, 1993",us US,7,UCLA,LAC
"0, 1",Jason Preston,PG,6-4,187,"August 10, 1999",us US,R,Ohio University,LAC
11,John Wall,PG,6-3,210,"September 6, 1990",us US,10,Kentucky,LAC
0,Russell Westbrook,PG,6-4,200,"November 12, 1988",us US,14,UCLA,LAC
40,Ivica Zubac,C,7-0,240,"March 18, 1997",ba BA,6,,LAC
12,Mo Bamba,C,7-0,231,"May 12, 1998",us US,4,Texas,LAL
5,Malik Beasley,SG,6-4,187,"November 26, 1996",us US,6,Florida State,LAL
21,Patrick Beverley,SG,6-2,180,"July 12, 1988",us US,10,Arkansas,LAL
9,Sterling Brown,SF,6-5,219,"February 10, 1995",us US,5,SMU,LAL
7,Troy Brown Jr.,SF,6-6,215,"July 28, 1999",us US,4,Oregon,LAL
31,Thomas Bryant,C,6-10,248,"July 31, 1997",us US,5,Indiana,LAL
10,Max Christie,SG,6-6,190,"February 10, 2003",us US,R,Michigan State,LAL
3,Anthony Davis,C,6-10,253,"March 11, 1993",us US,10,Kentucky,LAL
35,Wenyen Gabriel,C,6-9,205,"March 26, 1997",sd SD,3,Kentucky,LAL
28,Rui Hachimura,PF,6-8,230,"February 8, 1998",jp JP,3,Gonzaga,LAL
0,Shaquille Harrison,SG,6-4,190,"October 6, 1993",us US,5,Tulsa,LAL
6,LeBron James,PF,6-9,250,"December 30, 1984",us US,19,,LAL
30,Damian Jones,C,6-11,245,"June 30, 1995",us US,6,Vanderbilt,LAL
12,Kendrick Nunn,SG,6-2,190,"August 3, 1995",us US,2,"Illinois, Oakland",LAL
14,Scotty Pippen Jr.,PG,6-1,185,"November 10, 2000",us US,R,Vanderbilt,LAL
15,Austin Reaves,SG,6-5,206,"May 29, 1998",us US,1,"Wichita State, Oklahoma",LAL
11,Davon Reed,SG,6-5,208,"June 11, 1995",us US,3,Miami (FL),LAL
1,D'Angelo Russell,PG,6-3,193,"February 23, 1996",us US,7,Ohio State,LAL
37,Matt Ryan,SF,6-6,215,"April 17, 1997",us US,1,"Notre Dame, Vanderbilt, Chattanooga",LAL
17,Dennis SchrÃ¶der,PG,6-1,172,"September 15, 1993",de DE,9,,LAL
20,Cole Swider,SF,6-9,220,"May 8, 1999",us US,R,"Villanova, Syracuse",LAL
9,Tristan Thompson,C,6-9,254,"March 13, 1991",ca CA,11,Texas,LAL
95,Juan Toscano-Anderson,SF,6-6,209,"April 10, 1993",us US,3,Marquette,LAL
2,Jarred Vanderbilt,PF,6-8,214,"April 3, 1999",us US,4,Kentucky,LAL
4,Lonnie Walker IV,SG,6-4,204,"December 14, 1998",us US,4,Miami (FL),LAL
0,Russell Westbrook,PG,6-4,200,"November 12, 1988",us US,14,UCLA,LAL
4,Steven Adams,C,6-11,265,"July 20, 1993",nz NZ,9,Pitt,MEM
7,Santi Aldama,PF,6-11,224,"January 10, 2001",es ES,1,Loyola (MD),MEM
22,Desmond Bane,SG,6-5,215,"June 25, 1998",us US,2,TCU,MEM
24,Dillon Brooks,SF,6-6,225,"January 22, 1996",ca CA,5,Oregon,MEM
1,Kennedy Chandler,PG,6-0,171,"September 16, 2002",us US,R,Tennessee,MEM
15,Brandon Clarke,PF,6-8,215,"September 19, 1996",ca CA,3,"San Jose State, Gonzaga",MEM
0,Jacob Gilyard,PG,5-9,160,"July 14, 1998",us US,R,Richmond,MEM
14,Danny Green,SG,6-6,215,"June 22, 1987",us US,13,UNC,MEM
13,Jaren Jackson Jr.,C,6-10,242,"September 15, 1999",us US,4,Michigan State,MEM
21,Tyus Jones,PG,6-1,196,"May 10, 1996",us US,7,Duke,MEM
10,Luke Kennard,SG,6-5,206,"June 24, 1996",us US,5,Duke,MEM
46,John Konchar,SF,6-5,210,"March 22, 1996",us US,3,Purdue-Fort Wayne,MEM
3,Jake LaRavia,PF,6-8,235,"November 3, 2001",us US,R,"Indiana State University, Wake Forest",MEM
6,Kenneth Lofton Jr.,PF,6-7,275,"August 14, 2002",us US,R,Louisiana Tech,MEM
12,Ja Morant,PG,6-2,174,"August 10, 1999",us US,3,Murray State,MEM
27,David Roddy,PF,6-4,255,"March 27, 2001",us US,R,Colorado State,MEM
2,Xavier Tillman Sr.,C,6-8,245,"January 12, 1999",us US,2,Michigan State,MEM
5,Vince Williams Jr.,SG,6-4,205,"August 30, 2000",us US,R,VCU,MEM
8,Ziaire Williams,SF,6-9,215,"September 12, 2001",us US,1,Stanford,MEM
13,Bam Adebayo,C,6-9,255,"July 18, 1997",us US,5,Kentucky,MIA
11,Jamaree Bouyea,PG,6-2,180,"June 27, 1999",us US,R,San Francisco,MIA
22,Jimmy Butler,PF,6-7,230,"September 14, 1989",us US,11,"Tyler Junior College, Marquette",MIA
8,Jamal Cain,PF,6-7,191,"March 20, 1999",us US,R,"Marquette, Oakland",MIA
21,Dewayne Dedmon,C,7-0,245,"August 12, 1989",us US,9,USC,MIA
40,Udonis Haslem,C,6-8,235,"June 9, 1980",us US,19,Florida,MIA
14,Tyler Herro,SG,6-5,195,"January 20, 2000",us US,3,Kentucky,MIA
24,Haywood Highsmith,PF,6-7,220,"December 9, 1996",us US,2,Wheeling University,MIA
5,Nikola JoviÄ,PF,6-10,209,"June 9, 2003",gb GB,R,,MIA
42,Kevin Love,PF,6-8,251,"September 7, 1988",us US,14,UCLA,MIA
7,Kyle Lowry,PG,6-0,196,"March 25, 1986",us US,16,Villanova,MIA
16,Caleb Martin,SF,6-5,205,"September 28, 1995",us US,3,"NC State, Nevada",MIA
4,Victor Oladipo,SG,6-3,213,"May 4, 1992",us US,9,Indiana,MIA
55,Duncan Robinson,SF,6-7,215,"April 22, 1994",us US,4,"Williams, Michigan",MIA
25,Orlando Robinson,C,7-0,235,"July 10, 2000",us US,R,Fresno State,MIA
9,Dru Smith,SG,6-3,203,"December 30, 1997",us US,R,"University of Evansville, Missouri",MIA
31,Max Strus,SF,6-5,215,"March 28, 1996",us US,3,"Lewis (IL), DePaul",MIA
2,Gabe Vincent,PG,6-3,195,"June 14, 1996",us US,3,UC Santa Barbara,MIA
77,Omer Yurtseven,C,7-0,264,"June 19, 1998",tr TR,1,"NC State, Georgetown",MIA
44,Cody Zeller,C,6-11,240,"October 5, 1992",us US,9,Indiana,MIA
12,Grayson Allen,SG,6-4,198,"October 8, 1995",us US,4,Duke,MIL
34,Giannis Antetokounmpo,PF,6-11,242,"December 6, 1994",gr GR,9,,MIL
43,Thanasis Antetokounmpo,PF,6-7,219,"July 18, 1992",gr GR,4,,MIL
0,MarJon Beauchamp,SF,6-6,199,"October 12, 2000",us US,R,Yakima Valley Community College,MIL
5,Jevon Carter,PG,6-1,200,"September 14, 1995",us US,4,West Virginia,MIL
24,Pat Connaughton,SF,6-5,209,"January 6, 1993",us US,7,Notre Dame,MIL
99,Jae Crowder,PF,6-6,235,"July 6, 1990",us US,10,Marquette,MIL
31,Goran DragiÄ,PG,6-4,190,"May 6, 1986",si SI,14,,MIL
20,A.J. Green,SG,6-4,200,"September 27, 1999",us US,R,University of Northern Iowa,MIL
3,George Hill,PG,6-4,188,"May 4, 1986",us US,14,IUPUI,MIL
21,Jrue Holiday,PG,6-4,205,"June 12, 1990",us US,13,UCLA,MIL
25,Serge Ibaka,C,6-11,235,"September 18, 1989",cg CG,13,,MIL
7,Joe Ingles,SF,6-8,220,"October 2, 1987",au AU,8,,MIL
3,Meyers Leonard,C,7-0,260,"February 27, 1992",us US,9,Illinois,MIL
11,Brook Lopez,C,7-1,282,"April 1, 1988",us US,14,Stanford,MIL
