No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team
11,Mike Conley,PG,6-0,175,"October 11, 1987",us US,15,Ohio State,UTA
15,Damian Jones,C,6-11,245,"June 30, 1995",us US,6,Vanderbilt,UTA
95,Juan Toscano-Anderson,SF,6-6,209,"April 10, 1993",us US,3,Marquette,UTA
8,Jarred Vanderbilt,PF,6-8,214,"April 3, 1999",us US,4,Kentucky,UTA
5,Will Barton,SG,6-5,181,"January 6, 1991",us US,10,Memphis,WAS
4,Jamaree Bouyea,PG,6-2,180,"June 27, 1999",us US,R,San Francisco,WAS
8,Rui Hachimura,PF,6-8,230,"February 8, 1998",jp JP,3,Gonzaga,WAS
20,Kendrick Nunn,SG,6-2,190,"August 3, 1995",us US,2,"Illinois, Oakland",WAS
6,Jalen McDaniels,SF,6-9,205,"January 31, 1998",us US,3,San Diego State,CHO
10,Svi Mykhailiuk,SF,6-7,205,"June 10, 1997",ua UA,4,Kansas,CHO
24,Mason Plumlee,C,6-10,254,"March 5, 1990",us US,9,Duke,CHO
